split,speaker_id,utt_id,system_id,attack_key,label_text,label,audio_path,feature_path,audio_exists
train,LA_0079,LA_T_1138215,-,-,bonafide,0,E:/MASTER/DeAn/audio_deepfake/data/raw/ASVspoof2019_LA/ASVspoof2019_LA_train/flac/LA_T_1138215.flac,E:/MASTER/DeAn/audio_deepfake/data/processed/logmel_64_4s/train/LA_T_1138215.npy,1
train,LA_0079,LA_T_1271820,-,-,bonafide,0,E:/MASTER/DeAn/audio_deepfake/data/raw/ASVspoof2019_LA/ASVspoof2019_LA_train/flac/LA_T_1271820.flac,E:/MASTER/DeAn/audio_deepfake/data/processed/logmel_64_4s/train/LA_T_1271820.npy,1
train,LA_0079,LA_T_1272637,-,-,bonafide,0,E:/MASTER/DeAn/audio_deepfake/data/raw/ASVspoof2019_LA/ASVspoof2019_LA_train/flac/LA_T_1272637.flac,E:/MASTER/DeAn/audio_deepfake/data/processed/logmel_64_4s/train/LA_T_1272637.npy,1
train,LA_0079,LA_T_1276960,-,-,bonafide,0,E:/MASTER/DeAn/audio_deepfake/data/raw/ASVspoof2019_LA/ASVspoof2019_LA_train/flac/LA_T_1276960.flac,E:/MASTER/DeAn/audio_deepfake/data/processed/logmel_64_4s/train/LA_T_1276960.npy,1
train,LA_0079,LA_T_1341447,-,-,bonafide,0,E:/MASTER/DeAn/audio_deepfake/data/raw/ASVspoof2019_LA/ASVspoof2019_LA_train/flac/LA_T_1341447.flac,E:/MASTER/DeAn/audio_deepfake/data/processed/logmel_64_4s/train/LA_T_1341447.npy,1
train,LA_0079,LA_T_1363611,-,-,bonafide,0,E:/MASTER/DeAn/audio_deepfake/data/raw/ASVspoof2019_LA/ASVspoof2019_LA_train/flac/LA_T_1363611.flac,E:/MASTER/DeAn/audio_deepfake/data/processed/logmel_64_4s/train/LA_T_1363611.npy,1
train,LA_0079,LA_T_1596451,-,-,bonafide,0,E:/MASTER/DeAn/audio_deepfake/data/raw/ASVspoof2019_LA/ASVspoof2019_LA_train/flac/LA_T_1596451.flac,E:/MASTER/DeAn/audio_deepfake/data/processed/logmel_64_4s/train/LA_T_1596451.npy,1
train,LA_0079,LA_T_1608170,-,-,bonafide,0,E:/MASTER/DeAn/audio_deepfake/data/raw/ASVspoof2019_LA/ASVspoof2019_LA_train/flac/LA_T_1608170.flac,E:/MASTER/DeAn/audio_deepfake/data/processed/logmel_64_4s/train/LA_T_1608170.npy,1
train,LA_0079,LA_T_1684951,-,-,bonafide,0,E:/MASTER/DeAn/audio_deepfake/data/raw/ASVspoof2019_LA/ASVspoof2019_LA_train/flac/LA_T_1684951.flac,E:/MASTER/DeAn/audio_deepfake/data/processed/logmel_64_4s/train/LA_T_1684951.npy,1
train,LA_0079,LA_T_1699801,-,-,bonafide,0,E:/MASTER/DeAn/audio_deepfake/data/raw/ASVspoof2019_LA/ASVspoof2019_LA_train/flac/LA_T_1699801.flac,E:/MASTER/DeAn/audio_deepfake/data/processed/logmel_64_4s/train/LA_T_1699801.npy,1
train,LA_0079,LA_T_1703395,-,-,bonafide,0,E:/MASTER/DeAn/audio_deepfake/data/raw/ASVspoof2019_LA/ASVspoof2019_LA_train/flac/LA_T_1703395.flac,E:/MASTER/DeAn/audio_deepfake/data/processed/logmel_64_4s/train/LA_T_1703395.npy,1
train,LA_0079,LA_T_1736342,-,-,bonafide,0,E:/MASTER/DeAn/audio_deepfake/data/raw/ASVspoof2019_LA/ASVspoof2019_LA_train/flac/LA_T_1736342.flac,E:/MASTER/DeAn/audio_deepfake/data/processed/logmel_64_4s/train/LA_T_1736342.npy,1
train,LA_0079,LA_T_1779188,-,-,bonafide,0,E:/MASTER/DeAn/audio_deepfake/data/raw/ASVspoof2019_LA/ASVspoof2019_LA_train/flac/LA_T_1779188.flac,E:/MASTER/DeAn/audio_deepfake/data/processed/logmel_64_4s/train/LA_T_1779188.npy,1
train,LA_0079,LA_T_1786825,-,-,bonafide,0,E:/MASTER/DeAn/audio_deepfake/data/raw/ASVspoof2019_LA/ASVspoof2019_LA_train/flac/LA_T_1786825.flac,E:/MASTER/DeAn/audio_deepfake/data/processed/logmel_64_4s/train/LA_T_1786825.npy,1
train,LA_0079,LA_T_1787246,-,-,bonafide,0,E:/MASTER/DeAn/audio_deepfake/data/raw/ASVspoof2019_LA/ASVspoof2019_LA_train/flac/LA_T_1787246.flac,E:/MASTER/DeAn/audio_deepfake/data/processed/logmel_64_4s/train/LA_T_1787246.npy,1
train,LA_0079,LA_T_1905558,-,-,bonafide,0,E:/MASTER/DeAn/audio_deepfake/data/raw/ASVspoof2019_LA/ASVspoof2019_LA_train/flac/LA_T_1905558.flac,E:/MASTER/DeAn/audio_deepfake/data/processed/logmel_64_4s/train/LA_T_1905558.npy,1
train,LA_0079,LA_T_2205687,-,-,bonafide,0,E:/MASTER/DeAn/audio_deepfake/data/raw/ASVspoof2019_LA/ASVspoof2019_LA_train/flac/LA_T_2205687.flac,E:/MASTER/DeAn/audio_deepfake/data/processed/logmel_64_4s/train/LA_T_2205687.npy,1
